Context	English	Finnish	German
Localized.csproj.car_sedan_blue.png.value	TPngImage (48x48)		TPngImage (48x48)
Localized.csproj.flag_united_kingdom.png.value	TPngImage (48x48)	TPngImage (48x48)	TPngImage (48x48)
Localized.csproj.MainWindow.xaml.Title	Driving Time	Ajoaika	Fahrzeit
Localized.csproj.MainWindow.xaml.panel.menu.fileMenu.Header	_File	_Tiedosto	Datei
Localized.csproj.MainWindow.xaml.panel.menu.fileMenu.calculateMenu.Header	_Calculate	_Laske	Berechnen
Localized.csproj.MainWindow.xaml.panel.menu.fileMenu.exitMenu.Header	_Exit	_Lopeta	Beenden
Localized.csproj.MainWindow.xaml.panel.menu.helpMenu.Header	_Help	_Ohje	Hilfe
Localized.csproj.MainWindow.xaml.panel.menu.helpMenu.aboutMenu.Header	_About	_Tietoa	Über uns
Localized.csproj.MainWindow.xaml.panel.editGrid.distancePanel.distanceLabel.Content	_Distance:	_Etäisyys:	Entfernung:
Localized.csproj.MainWindow.xaml.panel.editGrid.speedPanel.speedLabel.Content	_Speed:	_Nopeus:	Geschwindigkeit:
Localized.csproj.MainWindow.xaml.panel.editGrid.buttonPanel.calculateButton.Content	_Calculate	_Laske	Berechnen
Localized.csproj.MainWindow.xaml.panel.infoGrid.timePanel.timeLabel.Content	Driving time is	Ajoaika on	Fahrzeit ist
Localized.csproj.Properties.Resources.resx.About	Driving time calculator	Ajoaikalaskin	Fahrzeit-Rechner
Localized.csproj.Properties.Resources.resx.HoursPlural	{0} hours	{0} tuntia	{0} Stunden
Localized.csproj.Properties.Resources.resx.Language	en	fi	de
Localized.csproj.Properties.Resources.resx.MinutesPlural	{0} minutes	{0} minuuttia	{0} Minuten
